refcode;scale;description;category;brand;ctns;price_eu
LS 001A;1:18;Range Rover 1986 Series 1 green;Street;Ls;4;74,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LS 001B;1:18;Range Rover 1986 Series - silver;Street;Ls;4;74,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LS 001C;1:18;Range Rover - blue;Street;Ls;4;74,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LS 002A;1:18;Triumph TR6 - green;Street;Ls;4;74,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LS 002B;1:18;Triumph TR6 - blue;Street;Ls;4;74,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LS 004A;1:18;Mercedes ML63 AMG black ;Street;Ls;4;74,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LS 004B;1:18;Mercedes ML63 AMG silver;Street;Ls;4;74,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LS 004C;1:18;Mercedes ML63 AMG white;Street;Ls;4;74,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LS 008A;1:18;TVR Sgaris 2005, green;Street;Ls;4;74,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LS 008B;1:18;TVR Sgaris 2005, yellow pearl;Street;Ls;4;74,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LS 008C;1:18;TVR Sgaris 2005, gray;Street;Ls;4;74,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LS 014A;1:18;Toyota Supra MKIV 1993 red;Street;Ls;4;74,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LS 015A;1:18;Toyota Supra MKIV 1993 red;Street;Ls;4;74,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LS 015S;1:18;Toyota Supra MKIV 1993 blu;Street;Ls;4;74,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LS 016A;1:18;Dodge Viper GTS met. blu;Street;Ls;4;74,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LS 016B;1:18;Dodge Viper GTS met. red;Street;Ls;4;74,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LS 016C;1:18;Dodge Viper GTS met.silver;Street;Ls;4;74,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LS 018A;1:18;Nissan 300 ZX '92 cherry red;Street;Ls;4;74,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LS 018B;1:18;Nissan 300 ZX '92 yellow;Street;Ls;4;74,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LS 018C;1:18;Nissan 300 ZX '92 black;Street;Ls;4;74,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LS 018D;1:18;Nissan 300 ZX '92 white ;Street;Ls;4;74,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LS 018E;1:18;Nissan 300 ZX 1992 - red;Street;Ls;4;74,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LS 018F;1:18;Nissan 300 ZX 1992 - grey;Street;Ls;4;74,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LS 019A;1:18;Mitsubishi 3000 gto 199 red;Street;Ls;4;74,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LS 019B;1:18;Mitsubishi 3000 GTO 1992 black;Street;Ls;4;74,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LS 019C;1:18;Mitsubishi 3000 GTO 1992 white;Street;Ls;4;74,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LS 019D;1:18;Mitsubishi 3000 GTO 1992-blue;Street;Ls;4;74,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
